Station,month_ym,ndvi,evi,lst_celsius,et_mm,soil_moisture
Amaram_1,2021-04,0.4106,0.2399,38.2218,5.5401,0.1468
Ammapet_1,2021-04,0.4559,0.2896,35.5162,7.0621,0.1324
Ariyampatti,2021-04,0.4116,0.246,39.0058,5.5541,0.1445
Avaniperur Keelmugam,2021-04,0.4202,0.2518,38.0625,5.7582,0.1439
Ayodhiyapattinam,2021-04,0.4742,0.2945,36.014,6.6645,0.1315
Egapuram,2021-04,0.3522,0.2028,39.6218,4.2727,0.1449
Erumaipatti_1,2021-04,0.4276,0.2566,36.9276,5.6514,0.1396
Erumaipatti_2,2021-04,0.3757,0.2266,38.7002,4.8183,0.1433
Gundakkal,2021-04,0.4025,0.2293,37.4864,5.4758,0.1442
Hasthampati,2021-04,0.3999,0.2675,36.0503,6.6625,0.1419
Hasthampatti,2021-04,0.4374,0.2975,35.6674,7.7987,0.1411
Illupanatham_1,2021-04,0.458,0.318,38.7286,8.7448,0.1305
Inam Bairoji,2021-04,0.4436,0.2589,37.1673,6.1694,0.1412
Kadambur,2021-04,0.4734,0.292,36.3724,8.5799,0.1257
Kullampatti,2021-04,0.5023,0.3201,36.5376,8.1863,0.141
M.Chettipatti,2021-04,0.3747,0.229,39.8687,4.9615,0.1446
Manjakalpatti,2021-04,0.4358,0.2704,36.2742,6.048,0.1404
Mannarpalayam,2021-04,0.4179,0.2513,37.5084,5.5289,0.1271
Moolakadu,2021-04,0.3512,0.21,33.0514,7.8165,0.1339
Murungapatty,2021-04,0.4085,0.2339,37.6772,5.3201,0.145
Muthiyampatti,2021-04,0.4191,0.2435,38.7392,5.7512,0.1446
Nadupatty,2021-04,0.4559,0.2697,37.026,6.6688,0.1409
Navapatti,2021-04,0.5289,0.3035,32.8179,8.9691,0.132
Pannavadi,2021-04,0.2902,0.1755,36.334,6.4489,0.1265
Pappanaickanpatti,2021-04,0.6151,0.3674,32.4506,13.7982,0.1293
Periyakadampatty,2021-04,0.3716,0.2245,40.1948,4.7766,0.1446
Pillukurichi,2021-04,0.4972,0.3222,36.0186,8.6741,0.1366
Pulluthikuttai,2021-04,0.5318,0.3381,32.9187,10.9265,0.1257
Rajapalayam (TN-MWS01),2021-04,0.3791,0.246,40.4822,6.4662,0.1347
Ramagudal,2021-04,0.4918,0.3151,35.2237,7.9865,0.1331
Ramanaickanpalayam,2021-04,0.5191,0.3385,37.3148,9.9512,0.126
Samuthiram_1,2021-04,0.4092,0.2357,39.0363,5.6322,0.1446
Sanarpatti,2021-04,0.4857,0.3054,36.3374,7.4436,0.1445
Sandhiyur,2021-04,0.446,0.251,35.5977,5.6477,0.1389
Sendarapatti,2021-04,0.453,0.2698,37.3505,7.7706,0.1289
Singipuram,2021-04,0.4279,0.2646,38.3551,6.1161,0.1264
Siruvachur,2021-04,0.4999,0.3281,37.2139,9.9125,0.1703
Sitteri,2021-04,0.4458,0.3147,39.4859,8.6481,0.1315
Sukkampatti,2021-04,0.4898,0.2885,34.8169,7.3335,0.1312
Thekkampatti,2021-04,0.4635,0.3051,36.6414,7.032,0.1442
Thuttampatti,2021-04,0.3536,0.2037,40.3666,4.3762,0.1445
Vaikundham sankari Salem Tamil Nadu,2021-04,0.4918,0.3111,36.2352,8.6877,0.1427
Veerakal,2021-04,0.5003,0.3074,35.8095,7.9793,0.1449
Veppilaipatty,2021-04,0.4541,0.2657,35.4502,5.75,0.1318
Amaram_1,2021-05,0.4751,0.3108,38.9499,8.4987,0.1615
Ammapet_1,2021-05,0.5286,0.3367,36.1782,9.8008,0.1508
Ariyampatti,2021-05,0.4066,0.2393,39.4958,7.2004,0.158
Avaniperur Keelmugam,2021-05,0.4724,0.3144,37.9633,9.4185,0.1593
Ayodhiyapattinam,2021-05,0.5224,0.3279,36.9225,9.0176,0.1527
Egapuram,2021-05,0.4022,0.2482,39.9277,6.6505,0.1601
Erumaipatti_1,2021-05,0.4787,0.3341,37.1929,8.8485,0.1563
Erumaipatti_2,2021-05,0.4399,0.2974,38.5684,7.6818,0.1587
Gundakkal,2021-05,0.4562,0.2689,38.5405,8.307,0.1606
Hasthampati,2021-05,0.4651,0.3111,36.9932,9.9052,0.1582
Hasthampatti,2021-05,0.5095,0.3447,36.1217,10.9065,0.158
Illupanatham_1,2021-05,0.4525,0.2963,39.6627,8.328,0.1504
Inam Bairoji,2021-05,0.4925,0.3218,39.3556,8.5492,0.1551
Kadambur,2021-05,0.5048,0.3144,37.3734,8.8376,0.1519
Kullampatti,2021-05,0.5605,0.3895,35.7901,12.2586,0.1583
M.Chettipatti,2021-05,0.4101,0.2456,41.1912,6.5304,0.1584
Manjakalpatti,2021-05,0.4817,0.3442,36.0131,9.2577,0.1566
Mannarpalayam,2021-05,0.4965,0.3242,38.419,8.3292,0.1563
Moolakadu,2021-05,0.3515,0.2262,34.541,9.9864,0.147
Murungapatty,2021-05,0.4546,0.2554,39.7886,7.2429,0.1595
Muthiyampatti,2021-05,0.4767,0.2823,38.3535,8.6549,0.1589
Nadupatty,2021-05,0.5101,0.318,37.9766,9.5511,0.1569
Navapatti,2021-05,0.5738,0.36,32.6059,12.5609,0.1443
Pannavadi,2021-05,0.3301,0.2135,37.2595,8.6601,0.1402
Pappanaickanpatti,2021-05,0.6871,0.4475,32.6421,16.6247,0.1562
Periyakadampatty,2021-05,0.3954,0.2326,41.2853,6.2466,0.1582
Pillukurichi,2021-05,0.5768,0.3843,35.136,12.6348,0.1516
Pulluthikuttai,2021-05,0.6341,0.3934,32.9205,14.5782,0.1552
Rajapalayam (TN-MWS01),2021-05,0.3537,0.2204,41.9717,6.471,0.153
Ramagudal,2021-05,0.5123,0.3507,36.8031,10.4061,0.1564
Ramanaickanpalayam,2021-05,0.5197,0.3444,38.4544,10.2122,0.1548
Samuthiram_1,2021-05,0.456,0.265,38.7363,8.127,0.1588
Sanarpatti,2021-05,0.5067,0.3229,36.7232,9.9606,0.1576
Sandhiyur,2021-05,0.5164,0.324,37.8978,8.4062,0.1529
Sendarapatti,2021-05,0.4759,0.2905,38.2641,8.0041,0.1588
Singipuram,2021-05,0.4791,0.3145,39.0442,8.1828,0.156
Siruvachur,2021-05,0.4573,0.2857,39.4321,8.7739,0.1817
Sitteri,2021-05,0.4549,0.3057,39.7807,8.3801,0.1499
Sukkampatti,2021-05,0.5633,0.3612,35.1903,11.1452,0.154
Thekkampatti,2021-05,0.509,0.3314,37.6506,9.8945,0.1592
Thuttampatti,2021-05,0.376,0.2113,41.0945,5.9758,0.1582
Vaikundham sankari Salem Tamil Nadu,2021-05,0.4876,0.3086,38.1085,10.1011,0.1922
Veerakal,2021-05,0.52,0.3467,37.0567,9.8958,0.1583
Veppilaipatty,2021-05,0.5182,0.3287,36.0242,8.3782,0.1583
Amaram_1,2021-06,0.5465,0.3209,38.0985,10.9811,0.1753
Ammapet_1,2021-06,0.5516,0.3298,35.3932,11.8628,0.1678
Ariyampatti,2021-06,0.5071,0.2803,39.7935,8.8856,0.167
Avaniperur Keelmugam,2021-06,0.4819,0.2904,40.4152,9.7785,0.1616
Ayodhiyapattinam,2021-06,0.547,0.3296,35.6664,10.8269,0.1699
Egapuram,2021-06,0.4626,0.2815,41.3574,9.0224,0.1643
Erumaipatti_1,2021-06,0.4952,0.3079,38.6375,9.6523,0.1533
Erumaipatti_2,2021-06,0.4896,0.2996,40.6588,9.0946,0.1603
Gundakkal,2021-06,0.5416,0.3122,37.6724,11.6766,0.174
Hasthampati,2021-06,0.5042,0.3072,36.2938,11.8495,0.1762
Hasthampatti,2021-06,0.5441,0.3332,35.5493,12.8873,0.1761
Illupanatham_1,2021-06,0.4526,0.2778,40.2091,9.0888,0.1668
Inam Bairoji,2021-06,0.5649,0.3733,37.2168,11.1497,0.1622
Kadambur,2021-06,0.6126,0.3803,34.6079,12.4815,0.1652
Kullampatti,2021-06,0.5754,0.3513,37.155,12.0944,0.1575
M.Chettipatti,2021-06,0.4872,0.2972,39.3145,9.4876,0.1682
Manjakalpatti,2021-06,0.5089,0.3173,38.251,9.7452,0.154
Mannarpalayam,2021-06,0.5623,0.3533,36.6179,11.0522,0.1736
Moolakadu,2021-06,0.4317,0.2411,34.8113,12.5819,0.1553
Murungapatty,2021-06,0.5217,0.3163,38.8699,9.6026,0.1683
Muthiyampatti,2021-06,0.5135,0.3045,39.8958,10.2229,0.1658
Nadupatty,2021-06,0.575,0.3521,36.7036,12.7338,0.1718
Navapatti,2021-06,0.6635,0.4111,33.1587,16.637,0.1492
Pannavadi,2021-06,0.3409,0.198,37.9089,10.3247,0.1484
Pappanaickanpatti,2021-06,0.7569,0.414,32.4514,19.7325,0.172
Periyakadampatty,2021-06,0.4866,0.2968,39.4474,9.2709,0.1676
Pillukurichi,2021-06,0.6006,0.3704,35.7938,13.1916,0.1543
Pulluthikuttai,2021-06,0.7104,0.3833,33.0584,17.7486,0.1721
Rajapalayam (TN-MWS01),2021-06,0.369,0.2138,42.3916,7.4828,0.1702
Ramagudal,2021-06,0.5161,0.3105,37.867,10.1783,0.1532
Ramanaickanpalayam,2021-06,0.5644,0.3417,37.2866,10.5793,0.1724
Samuthiram_1,2021-06,0.5122,0.2997,40.1265,10.0374,0.166
Sanarpatti,2021-06,0.5795,0.3386,36.8418,10.9136,0.1663
Sandhiyur,2021-06,0.5626,0.3665,36.1494,10.9325,0.1679
Sendarapatti,2021-06,0.5816,0.3459,35.9281,12.3039,0.1701
Singipuram,2021-06,0.53,0.3335,37.8048,10.0993,0.1734
Siruvachur,2021-06,0.4676,0.287,38.2781,9.9197,0.1941
Sitteri,2021-06,0.475,0.3033,39.487,9.6131,0.1674
Sukkampatti,2021-06,0.5934,0.3525,34.3511,13.9218,0.1711
Thekkampatti,2021-06,0.5505,0.3454,36.5714,12.1398,0.174
Thuttampatti,2021-06,0.4593,0.2667,41.351,8.4813,0.1668
Vaikundham sankari Salem Tamil Nadu,2021-06,0.4455,0.2667,37.9258,14.041,0.202
Veerakal,2021-06,0.6127,0.3667,36.9123,12.277,0.168
Veppilaipatty,2021-06,0.5825,0.3497,35.3658,11.2791,0.1746
Amaram_1,2021-07,0.5377,0.3795,31.2378,15.0865,0.2389
Ammapet_1,2021-07,0.5674,0.3898,31.7191,15.1392,0.2363
Ariyampatti,2021-07,0.5345,0.3653,32.1862,12.377,0.2272
Avaniperur Keelmugam,2021-07,0.4956,0.3173,36.9994,12.3835,0.2175
Ayodhiyapattinam,2021-07,0.6424,0.4447,31.3972,15.5466,0.2416
Egapuram,2021-07,0.5533,0.3859,33.6094,13.4764,0.2212
Erumaipatti_1,2021-07,0.4869,0.3272,35.3099,11.3311,0.2089
Erumaipatti_2,2021-07,0.543,0.3756,34.5969,12.5231,0.2164
Gundakkal,2021-07,0.5568,0.3692,30.9982,16.8815,0.2424
Hasthampati,2021-07,0.469,0.3307,33.0552,13.5626,0.2424
Hasthampatti,2021-07,0.5175,0.3614,32.5326,14.8218,0.2432
Illupanatham_1,2021-07,0.4779,0.2737,38.7195,10.9571,0.2366
Inam Bairoji,2021-07,0.5924,0.4251,32.5004,14.6103,0.2216
Kadambur,2021-07,0.624,0.4059,30.1348,15.2364,0.2382
Kullampatti,2021-07,0.5503,0.3636,34.6576,13.6592,0.2118
M.Chettipatti,2021-07,0.5812,0.405,32.3525,13.4048,0.2289
Manjakalpatti,2021-07,0.5067,0.3455,33.5884,11.7917,0.2087
Mannarpalayam,2021-07,0.6367,0.4328,31.787,15.2162,0.248
Moolakadu,2021-07,0.3799,0.2508,30.833,15.6628,0.2171
Murungapatty,2021-07,0.6036,0.4233,31.6897,14.6015,0.2283
Muthiyampatti,2021-07,0.5648,0.3762,34.5984,13.6718,0.2245
Nadupatty,2021-07,0.5433,0.3657,30.9204,16.8199,0.2421
Navapatti,2021-07,0.5002,0.3715,29.2333,17.7256,0.2063
Pannavadi,2021-07,0.3957,0.2505,32.0328,15.4103,0.2135
Pappanaickanpatti,2021-07,0.6877,0.4453,29.5569,21.5288,0.2482
Periyakadampatty,2021-07,0.5743,0.4003,32.4983,13.2002,0.228
Pillukurichi,2021-07,0.5362,0.3661,32.891,14.3733,0.21
Pulluthikuttai,2021-07,0.7152,0.5211,29.0726,22.2279,0.2481
Rajapalayam (TN-MWS01),2021-07,0.4272,0.2258,38.2211,9.5535,0.2331
Ramagudal,2021-07,0.4925,0.3118,36.0804,11.7729,0.2048
Ramanaickanpalayam,2021-07,0.5966,0.4103,31.8098,13.9931,0.2485
Samuthiram_1,2021-07,0.5696,0.3835,34.1812,13.8762,0.225
Sanarpatti,2021-07,0.4851,0.3425,30.441,13.0115,0.226
Sandhiyur,2021-07,0.5758,0.4241,31.5354,14.2936,0.2306
Sendarapatti,2021-07,0.6496,0.4277,31.057,16.4868,0.2479
Singipuram,2021-07,0.5904,0.3977,32.4525,13.9346,0.2486
Siruvachur,2021-07,0.4937,0.2906,34.9505,12.6858,0.2625
Sitteri,2021-07,0.4828,0.2944,38.257,11.4306,0.2369
Sukkampatti,2021-07,0.697,0.4738,30.2397,18.5282,0.2445
Thekkampatti,2021-07,0.5958,0.416,30.9672,15.2095,0.2377
Thuttampatti,2021-07,0.5602,0.3876,33.1878,13.211,0.2266
Vaikundham sankari Salem Tamil Nadu,2021-07,0.4057,0.2757,33.6388,15.4952,0.2596
Veerakal,2021-07,0.4969,0.3592,29.9578,14.2416,0.2284
Veppilaipatty,2021-07,0.6702,0.4668,30.6601,15.7321,0.2461
Amaram_1,2021-08,0.5334,0.3373,34.2434,14.7658,0.2001
Ammapet_1,2021-08,0.602,0.3737,30.5094,15.1651,0.2043
Ariyampatti,2021-08,0.532,0.3294,35.4844,13.3639,0.1914
Avaniperur Keelmugam,2021-08,0.5147,0.3268,39.1602,12.7342,0.1874
Ayodhiyapattinam,2021-08,0.6634,0.4024,32.4868,14.8689,0.2091
Egapuram,2021-08,0.5691,0.3577,34.9326,14.4464,0.1904
Erumaipatti_1,2021-08,0.5608,0.3789,36.0838,13.0348,0.1856
Erumaipatti_2,2021-08,0.6079,0.3938,35.6744,13.8716,0.1877
Gundakkal,2021-08,0.62,0.3708,34.1582,16.925,0.2036
Hasthampati,2021-08,0.5031,0.3201,31.7753,13.7411,0.2096
Hasthampatti,2021-08,0.548,0.3468,31.3921,14.4048,0.2104
Illupanatham_1,2021-08,0.4893,0.2962,40.6456,10.9823,0.2151
Inam Bairoji,2021-08,0.6651,0.41,34.9209,14.7823,0.1927
Kadambur,2021-08,0.6294,0.4022,35.3967,15.2879,0.2124
Kullampatti,2021-08,0.5436,0.3722,37.1222,13.8695,0.1837
M.Chettipatti,2021-08,0.6067,0.381,35.1219,14.7313,0.1935
Manjakalpatti,2021-08,0.5559,0.3756,35.3939,12.9308,0.184
Mannarpalayam,2021-08,0.5994,0.4244,34.8521,15.4406,0.2205
Moolakadu,2021-08,0.4172,0.2892,31.6521,16.9119,0.1757
Murungapatty,2021-08,0.6579,0.4119,32.8061,15.7184,0.196
Muthiyampatti,2021-08,0.5275,0.3263,36.6305,13.2386,0.1908
Nadupatty,2021-08,0.6166,0.3742,35.1842,16.2828,0.2021
Navapatti,2021-08,0.5754,0.4227,28.4784,17.6795,0.1723
Pannavadi,2021-08,0.3989,0.2721,35.5977,15.9265,0.169
Pappanaickanpatti,2021-08,0.7133,0.4939,29.3761,23.22,0.2199
Periyakadampatty,2021-08,0.587,0.3706,35.4876,14.4636,0.1924
Pillukurichi,2021-08,0.5615,0.4036,33.4988,14.7252,0.1781
Pulluthikuttai,2021-08,0.7092,0.4909,28.4517,20.0232,0.2194
Rajapalayam (TN-MWS01),2021-08,0.4489,0.2587,41.051,9.9357,0.2121
Ramagudal,2021-08,0.5567,0.3737,36.2035,13.9237,0.1804
Ramanaickanpalayam,2021-08,0.6189,0.4062,34.7418,14.1401,0.2215
Samuthiram_1,2021-08,0.528,0.3239,36.1719,13.3473,0.191
Sanarpatti,2021-08,0.5551,0.3758,32.7451,14.3198,0.1901
Sandhiyur,2021-08,0.6517,0.4054,34.3167,13.946,0.1991
Sendarapatti,2021-08,0.6119,0.3887,36.6187,15.0774,0.2178
Singipuram,2021-08,0.5953,0.395,36.3636,13.9023,0.2208
Siruvachur,2021-08,0.5731,0.3661,36.9112,12.5321,0.2446
Sitteri,2021-08,0.5321,0.348,39.1281,11.5328,0.2169
Sukkampatti,2021-08,0.6883,0.4318,31.8763,16.9722,0.2113
Thekkampatti,2021-08,0.6277,0.3857,33.1725,15.0666,0.204
Thuttampatti,2021-08,0.5575,0.3494,35.3185,14.0107,0.1913
Vaikundham sankari Salem Tamil Nadu,2021-08,0.4851,0.3105,38.4848,13.0623,0.236
Veerakal,2021-08,0.5546,0.3708,32.1249,14.6281,0.1919
Veppilaipatty,2021-08,0.6019,0.4193,32.4624,16.3068,0.2189
Amaram_1,2021-09,0.6167,0.3831,34.536,17.8241,0.239
Ammapet_1,2021-09,0.6105,0.3649,32.8551,16.3155,0.2415
Ariyampatti,2021-09,0.5958,0.4035,34.9169,15.5864,0.2348
Avaniperur Keelmugam,2021-09,0.588,0.3707,36.4179,14.489,0.2291
Ayodhiyapattinam,2021-09,0.6784,0.4225,32.3388,16.1972,0.2464
Egapuram,2021-09,0.5678,0.345,35.3684,15.0227,0.2328
Erumaipatti_1,2021-09,0.605,0.4082,34.0939,14.3326,0.219
Erumaipatti_2,2021-09,0.5887,0.3844,34.2738,14.9268,0.2296
Gundakkal,2021-09,0.6812,0.4434,31.982,21.2645,0.2442
Hasthampati,2021-09,0.4886,0.2999,34.6111,14.8821,0.248
Hasthampatti,2021-09,0.5359,0.3261,33.752,15.6456,0.2487
Illupanatham_1,2021-09,0.6547,0.4351,39.3359,14.2225,0.2325
Inam Bairoji,2021-09,0.6426,0.4002,33.0796,15.4186,0.2325
Kadambur,2021-09,0.7159,0.4486,34.5316,16.8411,0.2267
Kullampatti,2021-09,0.5923,0.357,33.6099,14.5154,0.2234
M.Chettipatti,2021-09,0.602,0.3939,33.8741,16.5988,0.2371
Manjakalpatti,2021-09,0.5737,0.3938,33.2031,13.9124,0.2225
Mannarpalayam,2021-09,0.6825,0.4279,33.7485,16.3827,0.2484
Moolakadu,2021-09,0.5227,0.3323,30.8243,20.7458,0.2139
Murungapatty,2021-09,0.6387,0.4048,32.3106,17.1612,0.2389
Muthiyampatti,2021-09,0.5761,0.3475,37.0286,14.6672,0.2338
Nadupatty,2021-09,0.6629,0.4217,32.5099,20.2289,0.2437
Navapatti,2021-09,0.6678,0.4466,28.5759,20.8253,0.2119
Pannavadi,2021-09,0.5556,0.3347,32.9894,19.748,0.2046
Pappanaickanpatti,2021-09,0.7656,0.5165,28.9645,24.7913,0.2498
Periyakadampatty,2021-09,0.6076,0.3993,33.9773,16.3653,0.2359
Pillukurichi,2021-09,0.6036,0.3745,32.5114,15.69,0.2176
Pulluthikuttai,2021-09,0.72,0.5031,27.5182,21.1392,0.2513
Rajapalayam (TN-MWS01),2021-09,0.6644,0.4612,40.6392,14.6276,0.2228
Ramagudal,2021-09,0.5811,0.3726,33.5849,13.8578,0.2104
Ramanaickanpalayam,2021-09,0.7032,0.4533,33.8428,16.0399,0.2467
Samuthiram_1,2021-09,0.5709,0.3445,37.0742,14.656,0.2341
Sanarpatti,2021-09,0.6371,0.438,32.5536,16.4428,0.2329
Sandhiyur,2021-09,0.6601,0.416,32.8161,15.2384,0.2349
Sendarapatti,2021-09,0.6892,0.414,34.0659,15.7763,0.2278
Singipuram,2021-09,0.664,0.4272,34.1854,15.4821,0.2493
Siruvachur,2021-09,0.6705,0.4563,34.77,16.1795,0.2684
Sitteri,2021-09,0.6615,0.4653,38.2268,15.0284,0.2369
Sukkampatti,2021-09,0.7129,0.4529,30.4673,18.1348,0.249
Thekkampatti,2021-09,0.6024,0.3818,32.9591,16.4128,0.2451
Thuttampatti,2021-09,0.6042,0.3853,35.4607,15.3337,0.2346
Vaikundham sankari Salem Tamil Nadu,2021-09,0.5143,0.3414,37.8716,11.7956,0.2481
Veerakal,2021-09,0.6475,0.4451,31.8387,17.6416,0.2342
Veppilaipatty,2021-09,0.6969,0.438,32.5539,17.0372,0.2467
Amaram_1,2021-10,0.6722,0.4804,31.4363,20.2189,0.2799
Ammapet_1,2021-10,0.6032,0.4207,31.4846,18.9991,0.2816
Ariyampatti,2021-10,0.6784,0.5027,30.7602,19.7034,0.2813
Avaniperur Keelmugam,2021-10,0.6098,0.4228,31.2576,18.2153,0.2798
Ayodhiyapattinam,2021-10,0.6674,0.4749,30.955,19.0697,0.2865
Egapuram,2021-10,0.6033,0.424,30.9186,17.9135,0.2815
Erumaipatti_1,2021-10,0.5494,0.4061,30.1017,17.3798,0.2818
Erumaipatti_2,2021-10,0.5833,0.4112,30.6303,17.3104,0.2816
Gundakkal,2021-10,0.6999,0.4825,30.1574,22.0263,0.2813
Hasthampati,2021-10,0.4982,0.3482,32.8185,17.5535,0.2875
Hasthampatti,2021-10,0.5456,0.3801,32.1861,18.439,0.2879
Illupanatham_1,2021-10,0.7429,0.5816,32.027,20.0418,0.2935
Inam Bairoji,2021-10,0.6343,0.4424,30.9759,17.5692,0.2844
Kadambur,2021-10,0.7391,0.5434,30.777,20.6114,0.2852
Kullampatti,2021-10,0.6335,0.4279,31.2644,18.4991,0.2799
M.Chettipatti,2021-10,0.6586,0.463,31.5811,19.3179,0.2822
Manjakalpatti,2021-10,0.5682,0.4176,29.5968,17.2545,0.2811
Mannarpalayam,2021-10,0.6944,0.5038,31.0463,19.3597,0.2934
Moolakadu,2021-10,0.5156,0.348,29.5138,22.7345,0.2663
Murungapatty,2021-10,0.6708,0.4797,30.5845,19.1676,0.284
Muthiyampatti,2021-10,0.6546,0.4662,30.7055,18.8189,0.2813
Nadupatty,2021-10,0.6829,0.4652,31.3506,21.4837,0.2802
Navapatti,2021-10,0.6626,0.4782,27.6909,23.1115,0.264
Pannavadi,2021-10,0.573,0.3712,31.0593,21.467,0.2585
Pappanaickanpatti,2021-10,0.7905,0.5446,27.5078,27.397,0.2949
Periyakadampatty,2021-10,0.6619,0.4694,31.4986,19.4096,0.2817
Pillukurichi,2021-10,0.6294,0.4359,31.2698,19.114,0.2726
Pulluthikuttai,2021-10,0.7507,0.5073,27.0853,24.0071,0.2936
Rajapalayam (TN-MWS01),2021-10,0.7557,0.5849,31.7061,20.5175,0.2932
Ramagudal,2021-10,0.6394,0.4439,31.6602,18.4763,0.2805
Ramanaickanpalayam,2021-10,0.7113,0.5118,30.6102,19.5932,0.2935
Samuthiram_1,2021-10,0.6541,0.4642,30.7696,18.8744,0.2814
Sanarpatti,2021-10,0.653,0.4977,29.5346,19.7822,0.2797
Sandhiyur,2021-10,0.6554,0.4705,30.7623,17.7758,0.2831
Sendarapatti,2021-10,0.7116,0.4912,31.5546,19.9049,0.2961
Singipuram,2021-10,0.6812,0.4947,31.4767,19.1697,0.2937
Siruvachur,2021-10,0.7303,0.5184,31.5643,20.5823,0.3211
Sitteri,2021-10,0.7252,0.5661,32.0713,19.9615,0.2966
Sukkampatti,2021-10,0.6969,0.5005,29.4853,20.4264,0.2892
Thekkampatti,2021-10,0.6253,0.4201,30.7322,18.8756,0.2857
Thuttampatti,2021-10,0.6473,0.4592,31.2038,18.8384,0.2814
Vaikundham sankari Salem Tamil Nadu,2021-10,0.5613,0.3895,37.2136,16.0265,0.3038
Veerakal,2021-10,0.6853,0.5177,29.9756,20.6661,0.2801
Veppilaipatty,2021-10,0.7067,0.5119,30.2063,19.3631,0.2923
Amaram_1,2021-11,0.3904,0.2781,28.8499,19.0574,0.3318
Ammapet_1,2021-11,0.3768,0.2421,29.3492,19.0994,0.3408
Ariyampatti,2021-11,0.3499,0.2547,29.6566,19.0688,0.3381
Avaniperur Keelmugam,2021-11,0.3789,0.257,29.5287,18.5913,0.3345
Ayodhiyapattinam,2021-11,0.4363,0.2837,29.046,18.8497,0.3467
Egapuram,2021-11,0.3778,0.2677,29.2786,18.8206,0.3366
Erumaipatti_1,2021-11,0.3179,0.2364,30.4999,18.0591,0.3349
Erumaipatti_2,2021-11,0.3748,0.2136,27.7969,18.2379,0.3368
Gundakkal,2021-11,0.4256,0.2945,26.7812,20.4492,0.3331
Hasthampati,2021-11,0.2876,0.1962,30.7476,18.3216,0.3461
Hasthampatti,2021-11,0.2989,0.2076,30.4351,18.5606,0.3466
Illupanatham_1,2021-11,0.5567,0.378,29.1237,18.5282,0.37
Inam Bairoji,2021-11,0.3762,0.244,29.5411,18.5835,0.3417
Kadambur,2021-11,0.5674,0.3714,28.7845,19.1763,0.3559
Kullampatti,2021-11,0.3946,0.2848,26.4284,19.1275,0.3346
M.Chettipatti,2021-11,0.3556,0.2456,29.4732,18.9036,0.3392
Manjakalpatti,2021-11,0.3072,0.2192,27.7843,18.0845,0.3357
Mannarpalayam,2021-11,0.5509,0.3576,28.9616,18.9856,0.3566
Moolakadu,2021-11,0.3226,0.1977,28.1435,20.7997,0.3169
Murungapatty,2021-11,0.379,0.2487,29.1312,19.209,0.3406
Muthiyampatti,2021-11,0.3671,0.2715,28.8778,19.2441,0.3372
Nadupatty,2021-11,0.4219,0.291,27.8114,19.7832,0.3336
Navapatti,2021-11,0.3384,0.2469,26.8409,21.5084,0.3174
Pannavadi,2021-11,0.3252,0.1984,29.2037,19.3963,0.3062
Pappanaickanpatti,2021-11,0.5316,0.358,23.7678,22.8597,0.3577
Periyakadampatty,2021-11,0.3488,0.2457,29.341,19.0074,0.3386
Pillukurichi,2021-11,0.3815,0.2939,27.4347,19.1363,0.3266
Pulluthikuttai,2021-11,0.4954,0.3443,27.3056,22.1575,0.3561
Rajapalayam (TN-MWS01),2021-11,0.5716,0.4072,29.0102,18.7014,0.3749
Ramagudal,2021-11,0.3534,0.2669,29.1176,18.924,0.3345
Ramanaickanpalayam,2021-11,0.5689,0.3731,27.4061,18.2712,0.3597
Samuthiram_1,2021-11,0.3698,0.2736,28.926,19.3446,0.3375
Sanarpatti,2021-11,0.3665,0.2613,28.1277,18.9979,0.3355
Sandhiyur,2021-11,0.3869,0.2634,29.2981,18.5211,0.3421
Sendarapatti,2021-11,0.5249,0.3384,28.0548,19.3639,0.3679
Singipuram,2021-11,0.5774,0.3728,29.8105,18.6884,0.3573
Siruvachur,2021-11,0.5586,0.3708,29.5272,19.2432,0.386
Sitteri,2021-11,0.5159,0.354,28.7705,18.3297,0.3743
Sukkampatti,2021-11,0.4123,0.2856,28.2395,19.7967,0.3498
Thekkampatti,2021-11,0.3147,0.2187,29.9177,18.5278,0.3436
Thuttampatti,2021-11,0.3783,0.2703,29.3054,19.1505,0.338
Vaikundham sankari Salem Tamil Nadu,2021-11,0.5595,0.3581,29.5235,18.6073,0.3664
Veerakal,2021-11,0.3488,0.2436,28.3223,19.0362,0.3354
Veppilaipatty,2021-11,0.4485,0.2973,28.746,19.1543,0.3536
Amaram_1,2021-12,0.6703,0.4097,29.0429,18.0841,0.2759
Ammapet_1,2021-12,0.5766,0.3424,28.9875,16.8226,0.2792
Ariyampatti,2021-12,0.6829,0.4288,29.6414,17.9809,0.2761
Avaniperur Keelmugam,2021-12,0.6055,0.3677,30.2759,17.0138,0.2681
Ayodhiyapattinam,2021-12,0.6372,0.3876,29.0595,16.8173,0.2884
Egapuram,2021-12,0.6264,0.3873,29.8384,17.7075,0.2705
Erumaipatti_1,2021-12,0.6059,0.3655,29.6286,16.3412,0.2719
Erumaipatti_2,2021-12,0.6007,0.3648,29.7955,16.7982,0.2708
Gundakkal,2021-12,0.6825,0.3925,28.4311,18.7153,0.2805
Hasthampati,2021-12,0.4831,0.2878,30.2359,15.773,0.2868
Hasthampatti,2021-12,0.5267,0.3109,29.7621,16.2242,0.2879
Illupanatham_1,2021-12,0.6108,0.3657,29.3595,16.8123,0.3474
Inam Bairoji,2021-12,0.6385,0.3996,29.6679,16.8034,0.2784
